Exposure,LicAge,VehAge,Gender,MariStat,SocioCateg,VehUsage,DrivAge,HasKmLimit,BonusMalus,VehBody,VehPrice,VehEngine,VehEnergy,VehMaxSpeed,VehClass,RiskVar,Garage
0.794,440,0,Male,Other,CSP60,Private,67,0,50,sedan,N,direct injection overpowered,diesel,8,M2,11,Collective garage
0.166,104,1,Female,Alone,CSP50,Private+trip to office,28,0,72,sedan,I,direct injection overpowered,diesel,5,B,13,Collective garage
0.916,313,3,Male,Other,CSP50,Professional,52,0,50,microvan,M,injection overpowered,diesel,3,H,15,None
0.636,1,4,Female,Alone,CSP50,Private+trip to office,21,0,100,sedan,F,injection,regular,3,A,20,None
0.592,580,8,Male,Other,CSP60,Private,69,0,53,sedan,E,injection,regular,2,A,18,None
1.0,177,4,Male,Alone,CSP50,Private+trip to office,33,0,80,coupe,O,injection overpowered,regular,9,M1,17,None
0.446,466,4,Male,Other,CSP37,Private,56,0,50,sedan,E,injection,regular,3,A,19,None
0.833,166,1,Male,Other,CSP50,Professional,32,0,72,sedan,J,direct injection overpowered,diesel,5,M1,15,None
0.583,260,2,Female,Other,CSP55,Private,41,0,50,other microvan,K,injection,regular,6,M1,11,Private garage
0.833,236,2,Male,Other,CSP50,Professional,37,0,57,station wagon,G,injection,regular,1,M1,13,None
0.627,149,2,Male,Alone,CSP50,Private+trip to office,31,0,95,cabriolet,J,injection,regular,8,B,13,None
0.416,290,3,Male,Other,CSP50,Private+trip to office,43,0,50,sedan,O,direct injection overpowered,diesel,7,H,8,Private garage
0.336,556,0,Male,Other,CSP60,Private,69,0,80,sedan,M,direct injection overpowered,diesel,7,M2,16,None
0.348,261,0,Male,Other,CSP50,Professional,43,0,68,sedan,R,injection overpowered,regular,9,H,2,Collective garage
0.241,468,5,Male,Other,CSP50,Private+trip to office,58,0,50,sedan,F,injection,diesel,4,B,7,None
1.0,122,8,Female,Other,CSP50,Private+trip to office,28,0,68,sedan,G,injection,regular,4,M1,17,None
0.749,310,6,Male,Other,CSP55,Private+trip to office,44,0,50,sedan,M,injection,regular,8,H,11,None
0.756,704,2,Male,Other,CSP60,Private,82,0,50,sedan,E,injection,regular,3,B,15,None
0.749,435,6,Female,Other,OTHER,Professional,54,0,51,sedan,D,injection,regular,4,B,1,None
1.0,342,3,Male,Other,CSP48,Professional,47,0,50,other microvan,K,injection,regular,7,M1,11,None
0.166,380,5,Female,Other,CSP50,Private+trip to office,51,0,50,coupe,F,injection overpowered,regular,1,A,20,None
0.249,299,1,Male,Other,OTHER,Professional,44,0,50,sedan,J,injection,regular,6,B,8,Collective garage
0.916,92,0,Female,Other,CSP50,Private+trip to office,27,0,100,sedan,D,injection,regular,2,B,9,None
0.416,307,0,Male,Other,CSP55,Private+trip to office,48,0,50,microvan,N,injection,regular,5,H,8,Collective garage
0.416,251,4,Female,Other,CSP50,Private,42,0,80,sedan,F,injection,regular,2,A,16,None
0.916,215,0,Male,Other,CSP46,Professional,37,0,50,microvan,M,direct injection overpowered,diesel,3,M1,20,Collective garage
0.463,58,0,Female,Other,CSP50,Private+trip to office,33,0,85,sedan,H,direct injection overpowered,diesel,4,B,7,None
0.666,231,0,Male,Other,CSP50,Private,37,0,50,sedan,O,direct injection overpowered,diesel,8,M2,15,Collective garage
0.325,175,3,Male,Other,CSP50,Private+trip to office,33,0,100,sedan,I,injection,regular,5,M1,5,Collective garage
0.749,463,0,Male,Other,CSP66,Professional,61,0,80,sedan,Q,injection,regular,8,H,17,Collective garage
0.124,58,0,Female,Alone,CSP50,Private+trip to office,24,0,80,sedan,G,injection,regular,4,B,18,None
0.666,322,1,Female,Other,CSP50,Private,54,0,50,sedan,I,injection,regular,5,B,16,Collective garage
1.0,500,0,Male,Other,CSP60,Private,66,0,50,other microvan,Q,injection,regular,9,H,20,Collective garage
0.499,494,0,Male,Other,CSP50,Private,59,0,91,sedan,M,injection,regular,7,M1,20,None
0.325,425,0,Male,Other,CSP50,Professional,54,0,50,sport utility vehicle,U,injection,regular,8,H,6,Private garage
0.458,350,1,Female,Other,OTHER,Professional run,50,0,51,coupe,O,injection,regular,8,H,17,Collective garage
0.329,214,5,Female,Other,CSP50,Professional,38,0,106,microvan,N,injection overpowered,diesel,5,H,15,None
0.833,307,1,Female,Other,CSP50,Professional,45,0,54,sedan,J,injection,regular,7,B,4,None
0.293,370,1,Male,Other,CSP66,Professional,58,0,52,sedan,R,injection overpowered,regular,9,H,16,Collective garage
0.833,409,1,Male,Other,CSP55,Private+trip to office,59,0,50,sedan,O,injection,regular,9,M2,13,None
0.25,172,6,Male,Alone,CSP50,Professional,32,0,76,sedan,F,injection,regular,3,B,15,None
0.916,334,6,Male,Other,CSP50,Private+trip to office,47,0,72,sedan,D,injection,regular,3,A,11,None
0.75,23,0,Female,Alone,CSP50,Private+trip to office,23,0,95,sedan,E,injection,regular,4,A,19,Collective garage
0.435,429,3,Female,Other,CSP55,Private,55,0,50,coupe,N,injection,regular,8,M2,12,Private garage
0.655,51,6,Male,Other,CSP50,Professional,25,0,85,sedan,F,injection,regular,3,B,9,None
0.683,36,2,Female,Alone,CSP26,Private+trip to office,22,0,90,sedan,E,injection,regular,3,B,17,None
0.2,0,3,Female,Alone,CSP26,Private+trip to office,18,0,100,coupe,F,injection overpowered,regular,1,A,16,None
0.249,153,5,Male,Alone,CSP55,Private+trip to office,30,0,51,sedan,J,direct injection overpowered,diesel,5,M1,15,None
0.944,182,1,Male,Other,CSP50,Private,33,0,57,sedan,I,direct injection overpowered,diesel,5,M1,16,Collective garage
0.882,378,1,Female,Other,CSP60,Private,58,0,50,sedan,J,injection,regular,5,M1,17,None
0.897,172,2,Female,Other,CSP50,Private+trip to office,40,0,50,sport utility vehicle,M,injection,regular,6,M2,5,Collective garage
0.307,337,6,Male,Other,CSP50,Professional,46,0,57,microvan,P,injection,regular,6,H,9,Collective garage
0.75,133,0,Female,Other,CSP1,Private+trip to office,29,0,57,other microvan,L,injection,regular,6,M1,16,None
0.25,201,0,Female,Alone,CSP50,Private,35,0,100,bus,L,direct injection overpowered,diesel,4,0,13,Collective garage
0.636,132,5,Male,Other,CSP50,Private+trip to office,42,1,80,sedan,K,injection overpowered,diesel,5,M2,19,Collective garage
0.666,120,11,Female,Alone,CSP50,Private+trip to office,29,0,57,sedan,D,injection,regular,2,B,7,None
0.499,228,1,Male,Other,CSP50,Private,37,0,50,sedan,K,direct injection overpowered,diesel,5,B,15,None
0.666,102,4,Male,Alone,CSP55,Private+trip to office,26,0,100,sedan,D,injection,regular,3,B,19,None
0.035,119,6,Male,Other,CSP50,Private+trip to office,36,0,85,other microvan,K,direct injection overpowered,diesel,5,M1,5,None
0.469,587,0,Male,Other,CSP60,Private,74,0,50,sedan,S,injection overpowered,regular,9,H,2,Private garage
0.416,294,4,Male,Other,CSP1,Professional,43,0,50,sedan,P,injection,regular,9,H,17,Collective garage
0.889,12,0,Male,Alone,CSP26,Private+trip to office,19,0,100,sedan,D,injection,regular,2,B,19,None
0.583,246,2,Male,Other,CSP1,Private+trip to office,41,0,64,sport utility vehicle,P,injection,regular,5,H,16,Collective garage
0.903,548,1,Male,Other,CSP60,Private,69,0,50,sedan,L,direct injection overpowered,diesel,5,B,13,Private garage
1.0,498,3,Male,Other,CSP60,Private,77,0,50,sedan,H,injection,regular,6,M1,15,None
0.749,451,0,Female,Other,CSP50,Professional,58,0,58,coupe,P,injection,regular,9,M2,1,Collective garage
0.633,347,3,Male,Other,CSP48,Professional,47,0,55,van,K,direct injection overpowered,diesel,3,0,9,None
0.833,438,11,Male,Other,CSP50,Private+trip to office,55,0,50,microvan,N,injection overpowered,diesel,4,H,15,None
0.271,381,6,Female,Other,CSP55,Private+trip to office,57,0,80,sedan,H,injection,diesel,3,B,12,None
0.303,247,8,Male,Alone,CSP50,Private,38,1,85,cabriolet,Q,injection,regular,8,M2,11,Private garage
0.452,279,0,Female,Other,CSP55,Private+trip to office,41,0,50,sedan,J,injection,regular,6,M1,13,None
0.333,261,1,Male,Other,CSP50,Professional,40,0,50,microvan,N,direct injection overpowered,diesel,6,H,18,Collective garage
0.433,611,0,Male,Other,CSP60,Private,72,0,50,sedan,N,direct injection overpowered,diesel,8,M2,12,Collective garage
0.457,422,1,Female,Alone,CSP60,Private,60,0,50,sedan,I,injection,regular,6,B,12,Collective garage
0.127,126,2,Female,Other,CSP50,Private+trip to office,35,0,85,sedan,I,direct injection overpowered,diesel,5,B,14,None
0.749,393,3,Male,Other,CSP50,Private+trip to office,51,0,64,sedan,F,injection,regular,3,B,12,None
0.258,2,11,Female,Alone,CSP50,Private,23,0,100,sedan,D,injection,regular,2,A,20,None
0.271,252,5,Female,Other,CSP50,Private+trip to office,40,0,100,other microvan,L,injection,regular,3,H,19,None
0.749,144,4,Male,Other,CSP50,Private+trip to office,39,0,80,sedan,E,injection,regular,4,B,12,Collective garage
0.325,130,0,Male,Alone,CSP50,Private+trip to office,29,0,58,sedan,L,injection,regular,8,B,7,None
0.416,179,2,Female,Other,CSP37,Private,42,0,125,sport utility vehicle,L,injection,regular,5,H,20,Collective garage
0.833,483,8,Male,Other,CSP50,Private+trip to office,60,0,50,sedan,O,injection,regular,8,M2,20,None
0.083,449,0,Female,Other,CSP50,Private,55,0,50,cabriolet,K,injection,regular,5,B,17,None
0.547,74,0,Female,Alone,CSP46,Private,25,0,100,sedan,I,injection,regular,6,B,8,None
0.419,390,3,Male,Other,CSP50,Private+trip to office,51,0,50,sedan,F,injection,regular,3,B,19,None
0.499,515,2,Male,Other,CSP50,Private+trip to office,61,0,95,sport utility vehicle,O,injection overpowered,diesel,3,H,16,None
0.539,212,0,Male,Other,CSP46,Private+trip to office,42,0,64,van,L,direct injection overpowered,diesel,3,0,10,None
0.105,320,1,Male,Other,CSP1,Professional,45,0,148,sedan,Q,injection overpowered,regular,9,M2,16,Collective garage
0.467,216,0,Male,Other,CSP50,Private+trip to office,38,0,50,station wagon,N,direct injection overpowered,diesel,8,M2,15,None
0.87,535,0,Female,Other,CSP1,Private+trip to office,62,1,53,sedan,J,injection,regular,6,B,6,None
0.749,372,8,Male,Other,CSP50,Private+trip to office,53,0,50,sedan,I,injection,diesel,4,M1,17,None
0.5,446,1,Male,Other,CSP50,Private+trip to office,59,0,50,sedan,I,direct injection overpowered,diesel,5,B,20,None
0.583,115,3,Male,Other,CSP50,Private,36,1,95,microvan,K,direct injection overpowered,diesel,5,M1,12,Collective garage
0.666,44,3,Male,Other,CSP50,Private+trip to office,26,0,85,sedan,C,injection,regular,4,B,19,None
0.833,93,6,Male,Other,CSP1,Professional,26,0,72,sedan,I,injection,regular,6,M1,17,None
0.5,156,2,Male,Other,CSP50,Private+trip to office,42,0,54,sport utility vehicle,N,injection overpowered,diesel,4,H,6,Collective garage
1.0,603,3,Male,Other,CSP60,Private,70,0,50,sport utility vehicle,M,direct injection overpowered,diesel,3,H,13,Collective garage
0.833,266,2,Male,Other,CSP50,Private,45,0,50,coupe,OTHER,injection,regular,9,M2,13,Private garage
1.0,128,0,Male,Other,CSP55,Private,37,0,95,sedan,H,direct injection overpowered,diesel,5,B,11,None
0.132,470,6,Male,Other,CSP50,Private+trip to office,57,0,50,other microvan,N,injection overpowered,diesel,5,H,20,Collective garage
0.784,882,5,Male,Other,CSP60,Private,91,1,68,sedan,G,injection,regular,4,B,7,None
0.877,188,5,Male,Alone,CSP55,Private+trip to office,38,0,50,microvan,K,direct injection overpowered,diesel,5,M1,3,None
0.513,299,0,Male,Alone,CSP50,Private+trip to office,50,0,50,sedan,K,direct injection overpowered,diesel,6,M1,13,Collective garage
0.666,141,4,Male,Other,OTHER,Professional,29,0,60,coupe,O,injection,regular,9,M2,16,Private garage
0.5,415,4,Male,Other,CSP60,Private,76,1,50,sedan,J,injection,regular,7,M2,7,None
0.764,599,3,Female,Other,CSP60,Private,78,0,77,sedan,H,injection,regular,6,B,3,None
1.0,75,6,Female,Alone,CSP26,Private+trip to office,25,0,80,sedan,F,injection,regular,3,B,16,None
0.916,331,1,Male,Other,CSP50,Private+trip to office,45,0,100,coupe,E,injection overpowered,regular,1,A,9,None
0.689,345,0,Female,Other,CSP55,Private+trip to office,47,0,68,station wagon,J,direct injection overpowered,diesel,6,M1,15,Collective garage
0.333,123,4,Male,Alone,CSP50,Private+trip to office,28,0,80,sedan,E,injection,regular,3,A,5,Collective garage
0.591,87,3,Male,Other,CSP50,Private+trip to office,25,0,90,sedan,D,injection,regular,3,A,17,Private garage
0.576,133,8,Male,Alone,CSP50,Private+trip to office,29,0,90,sedan,J,injection,regular,6,M1,11,None
0.833,161,0,Male,Alone,CSP26,Private+trip to office,31,0,64,sedan,J,injection,regular,7,B,15,None
1.0,274,2,Male,Other,CSP50,Private+trip to office,42,0,118,other microvan,K,injection,regular,6,M1,15,None
0.983,331,2,Male,Alone,CSP50,Professional run,53,0,100,cabriolet,F,injection overpowered,regular,1,A,15,None
0.747,480,0,Male,Other,CSP50,Professional,58,0,50,sedan,J,injection,regular,6,B,15,None
0.426,103,6,Female,Other,CSP50,Private,29,0,90,sedan,E,injection,regular,3,B,19,None
0.617,1,2,Male,Alone,CSP26,Private+trip to office,19,0,100,sedan,F,injection,regular,4,A,6,None
0.763,390,11,Female,Other,CSP55,Private+trip to office,52,0,50,sedan,P,injection,regular,9,H,17,Private garage
0.249,148,3,Female,Alone,CSP50,Private+trip to office,31,0,68,sedan,I,injection,regular,6,M1,11,Collective garage
0.75,348,2,Male,Other,CSP50,Private,50,0,55,other microvan,N,direct injection overpowered,diesel,5,H,17,None
0.18,284,3,Male,Other,CSP50,Private+trip to office,41,0,50,sedan,N,direct injection overpowered,diesel,8,M2,15,Private garage
0.916,230,0,Male,Other,CSP50,Professional,37,0,62,microvan,L,injection,regular,7,M1,9,None
0.916,89,2,Female,Alone,CSP50,Private+trip to office,27,0,90,sedan,I,direct injection overpowered,diesel,5,B,12,Collective garage
0.916,216,0,Female,Other,CSP50,Private+trip to office,41,0,50,sedan,D,injection,regular,3,A,13,None
0.166,393,0,Female,Other,CSP50,Private,51,1,50,sedan,I,injection,regular,7,B,16,None
0.583,64,2,Female,Alone,CSP50,Private+trip to office,25,0,95,sedan,G,direct injection overpowered,diesel,4,B,11,None
0.5,619,6,Female,Other,CSP60,Private,73,0,57,sedan,M,injection,regular,7,H,14,None
0.603,119,0,Female,Alone,CSP1,Professional,28,0,72,sedan,G,injection,regular,4,B,5,None
0.333,137,2,Male,Alone,CSP1,Private,33,0,100,sedan,J,direct injection overpowered,diesel,5,M1,18,None
0.408,149,2,Male,Other,CSP55,Private+trip to office,32,0,85,sedan,J,direct injection overpowered,diesel,5,M1,18,None
0.666,292,6,Male,Other,CSP48,Private,51,0,90,other microvan,J,injection,regular,4,M1,20,None
1.0,356,5,Female,Other,CSP37,Private,56,0,50,sedan,D,injection,regular,3,A,16,None
0.427,355,8,Male,Other,CSP50,Private+trip to office,48,0,50,sedan,P,injection,regular,6,H,16,None
0.249,540,8,Male,Other,CSP50,Private+trip to office,67,0,50,sedan,U,injection,regular,8,H,16,Collective garage
0.916,220,0,Female,Other,CSP50,Professional,37,0,90,microvan,I,direct injection overpowered,diesel,3,M1,8,None
0.499,156,5,Male,Other,CSP50,Professional,31,0,68,sedan,G,injection,regular,6,B,11,None
0.638,496,3,Female,Other,CSP50,Private+trip to office,61,0,50,sedan,F,injection,regular,4,B,15,None
0.371,62,5,Female,Alone,CSP50,Private+trip to office,26,0,76,sedan,E,injection,regular,4,B,12,None
0.456,229,0,Male,Alone,CSP50,Private+trip to office,38,0,90,sedan,E,injection,regular,4,B,19,Private garage
0.827,396,3,Male,Other,CSP55,Private+trip to office,53,0,50,station wagon,K,direct injection overpowered,diesel,6,M1,19,Collective garage
0.547,198,1,Male,Alone,CSP66,Professional,34,0,75,other microvan,Q,direct injection overpowered,diesel,8,H,9,Collective garage
0.602,135,1,Male,Alone,CSP50,Private+trip to office,37,0,57,sedan,K,injection,regular,8,B,16,Collective garage
0.097,446,0,Male,Alone,CSP48,Professional,57,0,50,sedan,K,direct injection overpowered,diesel,6,M1,18,None
0.75,423,3,Male,Other,CSP50,Professional,57,0,58,other microvan,N,direct injection overpowered,diesel,5,H,8,None
0.407,108,1,Male,Alone,CSP50,Private+trip to office,30,0,100,sedan,J,injection,regular,7,B,7,None
0.666,239,5,Female,Alone,CSP50,Professional,38,0,100,station wagon,H,injection overpowered,diesel,5,M1,15,None
0.886,467,6,Male,Other,CSP60,Private,67,1,57,sedan,H,injection,regular,5,B,3,None
0.583,38,1,Male,Alone,CSP50,Private+trip to office,21,0,100,cabriolet,H,injection overpowered,regular,1,A,8,None
0.749,145,6,Male,Other,CSP50,Professional,30,0,51,sedan,H,injection,diesel,4,M1,18,None
0.65,370,4,Male,Other,CSP50,Private+trip to office,49,0,50,sedan,I,injection,regular,6,B,1,None
0.662,445,1,Male,Other,CSP50,Professional run,55,0,96,sedan,J,direct injection overpowered,diesel,5,M1,16,None
0.769,88,1,Male,Other,CSP50,Professional,31,0,140,sedan,K,direct injection overpowered,diesel,6,M1,16,None
0.868,485,6,Male,Other,CSP50,Private+trip to office,61,0,50,sedan,P,injection,regular,8,M2,7,Collective garage
0.833,105,2,Male,Alone,CSP55,Private,29,0,68,cabriolet,I,injection,regular,7,B,5,None
0.75,421,2,Female,Other,CSP48,Professional,67,0,76,sedan,D,injection,regular,3,A,16,None
0.5,517,1,Male,Other,CSP50,Professional,61,0,50,other microvan,L,direct injection overpowered,diesel,5,M1,15,None
0.916,695,3,Male,Other,CSP60,Private,78,0,50,sedan,N,direct injection overpowered,diesel,7,M2,16,Private garage
0.315,51,3,Female,Alone,CSP46,Private+trip to office,39,0,85,sedan,I,injection,regular,6,B,11,None
0.394,11,3,Female,Alone,CSP50,Private+trip to office,20,0,100,cabriolet,H,injection overpowered,regular,1,A,11,None
0.358,302,1,Female,Other,CSP50,Private,43,0,56,coupe,N,injection overpowered,regular,9,M2,16,Collective garage
0.583,222,4,Female,Other,CSP50,Private+trip to office,49,0,57,microvan,K,direct injection overpowered,diesel,3,M2,18,Collective garage
0.416,168,2,Female,Other,CSP55,Private,32,0,90,cabriolet,I,injection,regular,7,B,14,None
0.749,170,8,Male,Other,CSP50,Private+trip to office,32,0,50,cabriolet,L,injection,regular,5,M1,10,None
0.749,364,6,Male,Other,CSP50,Private+trip to office,54,0,76,sedan,K,injection,regular,7,M2,18,None
0.368,123,5,Male,Alone,CSP55,Private+trip to office,29,0,95,sedan,E,injection,regular,3,B,19,None
1.0,290,4,Female,Other,CSP50,Private+trip to office,45,0,51,station wagon,N,injection,regular,6,M2,11,None
1.0,227,3,Male,Other,CSP50,Private+trip to office,37,0,57,microvan,L,direct injection overpowered,diesel,3,M1,19,Collective garage
0.833,177,11,Male,Alone,CSP50,Private+trip to office,33,0,50,coupe,P,injection,regular,9,M2,8,Collective garage
0.499,268,0,Male,Other,CSP50,Private+trip to office,46,0,50,sport utility vehicle,OTHER,injection,regular,9,H,15,Private garage
0.019,218,1,Male,Alone,CSP50,Private+trip to office,36,0,59,sedan,H,direct injection overpowered,diesel,5,B,11,None
0.375,396,4,Male,Other,CSP50,Private+trip to office,51,0,75,sedan,K,injection,regular,7,M2,13,None
0.916,136,1,Female,Other,CSP50,Private+trip to office,29,0,61,sedan,H,injection,regular,5,M1,15,None
0.95,259,5,Female,Alone,CSP50,Private+trip to office,41,0,76,sedan,F,injection,regular,4,B,11,None
0.497,494,0,Male,Other,CSP50,Private+trip to office,59,0,54,sedan,G,injection,regular,4,A,16,None
0.583,251,1,Female,Other,CSP50,Professional,39,0,85,sedan,L,direct injection overpowered,diesel,7,M1,11,None
0.166,290,4,Male,Other,CSP50,Private+trip to office,44,0,54,sedan,P,direct injection overpowered,diesel,9,H,9,Collective garage
0.416,81,1,Female,Other,CSP50,Professional,31,0,95,sedan,H,injection,regular,6,B,10,None
1.0,663,2,Male,Other,CSP60,Private,82,0,50,sedan,K,injection,regular,8,M1,16,Collective garage
0.753,75,2,Female,Other,CSP50,Private+trip to office,34,0,95,sedan,E,injection,regular,4,A,15,None
0.479,263,0,Male,Other,CSP50,Private+trip to office,43,0,63,sedan,N,direct injection overpowered,diesel,8,M1,15,Private garage
0.705,168,0,Female,Alone,CSP50,Private+trip to office,33,0,76,sedan,J,injection,regular,4,M1,13,Private garage
0.337,460,6,Male,Other,CSP50,Private+trip to office,58,0,50,sedan,D,injection,regular,3,B,15,Private garage
0.497,118,8,Female,Other,CSP50,Private+trip to office,28,0,60,sedan,F,injection,regular,3,M1,20,None
0.916,203,2,Male,Other,CSP50,Private+trip to office,36,0,59,sedan,J,injection,regular,4,B,3,None
0.368,308,11,Male,Other,CSP50,Private+trip to office,43,0,50,microvan,M,injection,regular,5,H,17,None
0.75,494,0,Female,Other,CSP60,Private,60,0,50,sedan,R,direct injection overpowered,diesel,9,H,15,Private garage
0.076,461,2,Male,Other,CSP50,Private+trip to office,56,1,50,sedan,F,injection,regular,3,B,16,None
1.0,631,11,Male,Other,CSP60,Private,72,0,50,coupe,OTHER,injection,regular,9,H,19,Private garage
0.677,303,1,Female,Alone,CSP50,Private+trip to office,43,0,50,sedan,G,injection,regular,6,B,11,None
0.427,859,4,Female,Other,CSP60,Private,91,0,272,sedan,H,injection,regular,6,B,7,None
0.666,239,2,Male,Other,CSP49,Professional,38,0,50,van,M,direct injection overpowered,diesel,3,0,2,Private garage
0.5,319,0,Male,Other,CSP55,Private+trip to office,54,0,90,microvan,L,direct injection overpowered,diesel,5,M1,14,None
0.888,476,4,Female,Other,CSP42,Professional,58,0,50,sedan,H,injection,regular,6,B,16,None
0.759,510,4,Female,Other,CSP60,Private,73,1,50,sedan,I,injection,regular,5,M1,17,None
0.804,321,2,Male,Other,CSP46,Professional,52,0,56,van,L,direct injection overpowered,diesel,3,0,19,None
0.333,236,8,Female,Alone,CSP55,Private+trip to office,42,0,50,sedan,D,injection,regular,2,B,18,None
1.0,467,6,Male,Other,CSP50,Private,57,0,68,sedan,P,injection,regular,9,H,8,Collective garage
0.666,77,3,Female,Alone,CSP50,Private+trip to office,25,0,76,sedan,E,injection,regular,4,B,14,None
0.75,288,4,Male,Other,CSP50,Private+trip to office,43,0,68,sedan,K,injection,regular,8,M2,18,None
0.7,1,1,Male,Alone,CSP26,Private+trip to office,18,0,100,sedan,I,direct injection overpowered,diesel,5,B,16,None
1.0,498,1,Female,Other,CSP37,Private,60,0,80,sedan,M,direct injection overpowered,diesel,8,M1,7,None
0.75,553,2,Female,Other,CSP60,Private,65,1,50,sedan,E,injection,regular,4,A,12,Collective garage
0.83,144,5,Female,Other,CSP50,Private+trip to office,32,0,125,sedan,L,injection,regular,5,B,7,None
0.75,480,4,Male,Other,CSP50,Professional,58,0,50,sedan,H,injection,regular,5,M1,16,None
0.75,366,2,Male,Alone,CSP55,Private,53,0,95,sedan,F,injection,regular,5,B,19,Private garage
0.471,237,3,Male,Other,CSP50,Private+trip to office,43,0,90,sedan,M,direct injection overpowered,diesel,7,M1,17,None
0.423,90,0,Female,Alone,CSP50,Professional,31,0,80,sedan,J,direct injection overpowered,diesel,6,B,11,Private garage
0.833,198,3,Male,Other,CSP66,Professional,37,0,62,coupe,OTHER,injection,regular,9,H,9,Collective garage
0.749,163,3,Female,Alone,CSP50,Private,31,0,85,coupe,E,injection overpowered,regular,1,A,9,None
0.333,280,0,Male,Other,CSP55,Private+trip to office,44,0,68,sedan,H,direct injection overpowered,diesel,4,B,18,None
0.75,446,3,Male,Other,CSP50,Private+trip to office,55,0,72,sedan,F,injection,regular,5,B,12,None
0.666,188,5,Female,Other,CSP50,Private,34,1,50,sedan,F,injection,regular,3,B,16,Private garage
0.75,370,1,Male,Other,CSP50,Professional,57,0,50,sedan,G,direct injection overpowered,diesel,4,B,15,None
0.499,158,1,Male,Alone,CSP50,Professional,31,0,64,sedan,O,direct injection overpowered,diesel,8,M1,6,None
0.749,334,2,Male,Other,CSP1,Professional,47,0,80,other microvan,N,direct injection overpowered,diesel,5,M2,6,Collective garage
1.0,509,6,Male,Other,CSP60,Private,60,0,50,sedan,M,injection,regular,8,M2,8,Collective garage
0.553,50,0,Female,Other,CSP55,Private,22,0,80,sedan,J,direct injection overpowered,diesel,5,M1,13,None
0.249,154,6,Female,Other,CSP1,Private,47,0,53,sedan,E,injection,regular,2,A,6,None
0.382,464,0,Male,Other,CSP60,Private,60,0,90,sedan,K,direct injection overpowered,diesel,5,M1,19,Collective garage
0.666,207,4,Male,Other,CSP49,Professional,36,0,68,sport utility vehicle,M,injection,regular,4,H,10,Collective garage
0.75,53,2,Male,Other,CSP50,Professional,51,0,80,microvan,O,direct injection overpowered,diesel,5,H,11,Collective garage
0.142,157,8,Female,Other,CSP50,Private+trip to office,31,0,60,sedan,D,injection,regular,2,A,16,Collective garage
0.583,562,2,Male,Other,CSP50,Professional,64,0,50,sedan,Q,injection,regular,9,H,17,Private garage
0.833,374,3,Female,Other,CSP66,Private,50,0,85,sport utility vehicle,U,injection,regular,8,H,6,Private garage
0.391,409,2,Male,Other,CSP66,Professional,54,0,50,sedan,L,direct injection overpowered,diesel,5,B,16,Private garage
0.53,509,3,Female,Other,CSP60,Private,81,0,86,sedan,G,injection,regular,3,B,14,None
0.358,451,0,Male,Other,CSP1,Professional,56,0,50,sedan,N,direct injection overpowered,diesel,8,H,11,None
0.58,91,1,Male,Other,CSP50,Private,27,0,90,other microvan,L,direct injection overpowered,diesel,5,M1,19,None
0.583,511,0,Female,Alone,CSP60,Private,62,0,50,sedan,G,injection,regular,6,B,16,None
0.5,279,1,Male,Other,CSP66,Professional,41,0,50,sport utility vehicle,S,direct injection overpowered,diesel,7,H,17,Collective garage
0.375,110,0,Male,Other,CSP55,Private+trip to office,31,0,60,sedan,N,direct injection overpowered,diesel,8,M1,13,Private garage
0.942,321,1,Male,Other,CSP50,Professional,46,0,50,sedan,N,direct injection overpowered,diesel,8,M1,8,None
0.749,172,5,Male,Other,CSP42,Professional,37,0,72,sedan,H,injection,regular,6,M1,3,Collective garage
1.0,510,2,Female,Other,CSP42,Private+trip to office,61,1,51,sedan,G,injection,regular,6,B,1,None
0.5,274,2,Male,Other,CSP48,Private+trip to office,44,0,90,van,J,injection,diesel,1,0,18,None
1.0,433,8,Male,Other,OTHER,Professional,54,0,50,sedan,K,injection,regular,5,B,7,Private garage
0.749,484,6,Male,Other,CSP60,Private,62,0,50,coupe,P,injection overpowered,regular,9,H,13,Private garage
0.583,450,3,Female,Other,CSP50,Private+trip to office,57,0,93,sedan,G,injection,regular,4,A,16,None
1.0,404,1,Male,Other,OTHER,Professional run,52,0,50,sedan,P,direct injection overpowered,diesel,8,H,17,None
0.71,108,2,Male,Other,CSP50,Private,28,1,80,sedan,E,injection,regular,4,A,14,None
0.825,211,0,Male,Other,CSP50,Private,37,0,57,microvan,K,injection,regular,6,M1,16,Collective garage
0.259,453,2,Male,Other,CSP50,Private+trip to office,58,0,50,station wagon,S,injection,regular,9,H,12,Collective garage
0.146,93,0,Male,Other,CSP50,Private+trip to office,26,0,95,cabriolet,L,injection,regular,6,M1,19,None
0.35,240,4,Male,Other,CSP50,Professional,39,0,50,sedan,V,injection,regular,9,H,16,Private garage
0.523,175,6,Female,Other,CSP50,Private,49,0,100,sedan,J,injection,regular,7,H,9,None
0.591,534,11,Female,Other,CSP60,Private,77,1,50,sedan,E,injection,regular,4,B,8,None
0.833,174,3,Female,Alone,CSP50,Private+trip to office,32,0,68,sport utility vehicle,M,injection,regular,4,H,8,Private garage
0.699,267,2,Male,Other,CSP50,Private+trip to office,41,0,50,sedan,G,injection,regular,4,A,15,Collective garage
0.555,73,2,Female,Alone,CSP26,Private+trip to office,24,0,95,cabriolet,E,injection overpowered,regular,1,A,16,None
